signal_id;selected;manual_comment;created_at;symbol;side;price;score;entry;stop;tp1;tp2;rr1;rr2;turnover24h_m;change24h_pct;funding_pct;btc_regime;btc_score_delta;oi_change_pct;price_change_oi_window_pct;oi_score_delta;oi_signal;smc_score_delta;smc_bias;smc_event;smc_zone;smc_reason;reason
20260520_104205_ONDOUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;ONDOUSDT;long;0,3771;6;0.3752145 - 0.3778542;0,331136;0,3999;0,469028;0,5;2,0;97,4;-2,73;-0,0025;BTC 4H bearish trend;-2;-11,27;9,37;0;price up + OI down: possible short squeeze;3;swing bullish;internal bullish CHoCH 8 bars ago;equilibrium;SMC bullish internal CHoCH, SMC bullish FVG;1D uptrend, 4H above EMA50, BTC bearish against long, RR2 >= 2, funding ok, SMC bullish internal CHoCH, SMC bullish FVG
20260520_104205_ZECUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;ZECUSDT;long;591,17;5;588.21415 - 592.35234;482,575;594,99;808,36;0,04;2,0;160,4;4,59;0,0022;BTC 4H bearish trend;-2;21,42;18,69;1;price up + OI up: long confirmation;3;swing bullish;internal bullish CHoCH 7 bars ago;equilibrium;SMC bullish internal CHoCH, SMC bullish FVG;1D uptrend, 4H above EMA50, too close to resistance, BTC bearish against long, RR2 >= 2, funding ok, OI confirms, SMC bullish internal CHoCH, SMC bullish FVG
20260520_104205_BSBUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;BSBUSDT;long;0,7679;4;0.7640605 - 0.7694358;0,369145;1,2708;1,56541;1,26;2,0;167,2;14,05;0,005;BTC 4H bearish trend;-2;46,91;98,22;1;price up + OI up: long confirmation;2;swing bullish;swing bullish CHoCH 3 bars ago;premium;SMC bullish swing CHoCH, SMC premium zone, SMC bullish FVG;1D uptrend, 4H above EMA50, RSI not overheated, possible chase, BTC bearish against long, funding ok, OI confirms, SMC bullish swing CHoCH, SMC premium zone, SMC bullish FVG
20260520_104205_BTCUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;BTCUSDT;long;77342,5;3;76955.7875 - 77497.185;75619,9005;80787,699;80800,8;2,0;2,01;3078,5;0,25;0,0093;BTC 4H bearish trend;-2;-0,13;-0,9;0;OI neutral;-2;swing bearish;internal bearish BOS 14 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;near support, RSI not overheated, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_ETHUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;ETHUSDT;long;2132,4;3;2121.738 - 2136.6648;2065,80905;2264,43;2265,5819;1,98;2,0;1989,9;-0,34;0,0046;BTC 4H bearish trend;-2;-7,1;-1,98;0;price down + OI down: deleveraging;-2;swing bearish;internal bearish BOS 14 bars ago;discount;SMC bearish internal BOS, SMC discount zone, SMC bearish FVG;near support, RSI not overheated, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bearish internal BOS, SMC discount zone, SMC bearish FVG
20260520_104205_TONUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;TONUSDT;long;1,9596;3;1.949802 - 1.9635192;1,84871;2,1172;2,18138;1,42;2,0;110,8;-4,79;-0,0037;BTC 4H bearish trend;-2;6,66;2,36;1;price up + OI up: long confirmation;-1;swing bullish;internal bearish BOS 28 bars ago;equilibrium;SMC bearish internal BOS, SMC bullish FVG;near support, RSI not overheated, BTC bearish against long, RR2 >= 2, funding ok, OI confirms, SMC bearish internal BOS, SMC bullish FVG
20260520_104205_DOGEUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;DOGEUSDT;long;0,1038;2;0.103281 - 0.1040076;0,10128105;0,1088379;0,11559;2,0;4,68;112,8;-0,87;0,0025;BTC 4H bearish trend;-2;-17,61;-4,67;0;price down + OI down: deleveraging;-2;swing bearish;swing bearish CHoCH 12 bars ago;discount;SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG;near support, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bearish swing CHoCH, SMC discount zone, SMC bearish FVG
20260520_104205_EDENUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;EDENUSDT;long;0,07888;2;0.0784856 - 0.07903776;0,0344867;0,09494;0,1676666;0,36;2,0;106,2;23,29;0,005;BTC 4H bearish trend;-2;477,69;118,14;1;price up + OI up: long confirmation;1;swing bullish;internal bullish BOS 3 bars ago;premium;SMC bullish internal BOS, SMC premium zone, SMC bullish FVG;1D uptrend, 4H above EMA50, possible chase, BTC bearish against long, funding ok, OI confirms, SMC bullish internal BOS, SMC premium zone, SMC bullish FVG
20260520_104205_SUIUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;SUIUSDT;long;1,0588;2;1.053506 - 1.0609176;1,004154;1,1545;1,168092;1,75;2,0;79,8;-2,62;0,01;BTC 4H bearish trend;-2;-8,38;1,42;0;price up + OI down: possible short squeeze;-3;swing bullish;internal bearish CHoCH 30 bars ago;equilibrium;SMC bearish internal CHoCH, SMC bearish FVG;near support, RSI not overheated, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, SMC bearish internal CHoCH, SMC bearish FVG
20260520_104205_SOLUSDT_LONG;;;2026-05-20T07:42:05.827616+00:00;SOLUSDT;long;84,89;1;84.46555 - 85.05978;82,87355;88,9229;91,6;2,0;3,33;478,1;-0,6;0,01;BTC 4H bearish trend;-2;3,16;-1,35;-2;price down + OI up: long pressure;-2;swing bullish;internal bearish CHoCH 28 bars ago;discount;SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG;near support, RSI not overheated, BTC bearish against long, RR1 >= 1.5, RR2 >= 2, funding ok, OI pressure, SMC bearish internal CHoCH, SMC discount zone, SMC bearish FVG
