signal_id,selected,manual_comment,created_at,symbol,side,price,score,entry,stop,tp1,tp2,rr1,rr2,turnover24h_m,change24h_pct,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,reason,selected_saved_at,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason
20260512_152526_TONUSDT_LONG,yes,,2026-05-12T12:25:26.972778+00:00,TONUSDT,long,2.3456,9,2.333872 - 2.350291,2.2088,2.8092,2.6192,3.39,2.0,197.0,2.62,-0.0156,BTC 4H weak/neutral,-1,-4.2,-7.46,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",2026-05-15T06:53:03.733151+00:00,,,,,
20260512_152526_ZECUSDT_LONG,yes,,2026-05-12T12:25:26.972778+00:00,ZECUSDT,long,555.23,8,552.45385 - 556.34046,534.014857,642.79,597.660286,4.13,2.0,114.8,-2.67,0.01,BTC 4H weak/neutral,-1,-9.23,-3.27,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC weak/neutral",2026-05-15T06:53:03.733151+00:00,,,,,
20260512_152526_XRPUSDT_LONG,yes,,2026-05-12T12:25:26.972778+00:00,XRPUSDT,long,1.451,7,1.443745 - 1.453902,1.36902,1.5075,1.614959,0.69,2.0,413.6,-0.71,0.0031,BTC 4H weak/neutral,-1,2.5,2.28,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",2026-05-15T06:53:03.733151+00:00,,,,,
20260512_152526_ADAUSDT_LONG,yes,,2026-05-12T12:25:26.972778+00:00,ADAUSDT,long,0.2742,7,0.272829 - 0.274748,0.258004,0.2886,0.306593,0.89,2.0,68.7,-1.83,-0.0072,BTC 4H weak/neutral,-1,-2.37,0.96,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",2026-05-15T06:53:03.733151+00:00,,,,,
20260515_121226_LINKUSDT_LONG,yes,,2026-05-15T09:12:26.465394+00:00,LINKUSDT,long,10.302,11,10.25049 - 10.322604,9.98184,10.865,10.94232,1.76,2.0,66.3,0.48,0.0068,BTC 4H supportive,1,-6.58,-2.66,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",2026-05-18T06:01:43.475540+00:00,,,,,
20260515_121226_ADAUSDT_LONG,yes,,2026-05-15T09:12:26.465394+00:00,ADAUSDT,long,0.2674,10,0.266063 - 0.2679348,0.2597945,0.282611,0.2886,2.0,2.79,81.2,1.06,0.01,BTC 4H supportive,1,-3.22,-5.31,0,price down + OI down: deleveraging,"1D uptrend, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC supportive",2026-05-18T06:01:43.475540+00:00,,,,,
20260515_121226_NEARUSDT_LONG,yes,,2026-05-15T09:12:26.465394+00:00,NEARUSDT,long,1.549,10,1.541255 - 1.552098,1.48709714,1.67280571,1.6907,2.0,2.29,60.8,-2.16,-0.0159,BTC 4H supportive,1,-7.78,1.71,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC supportive",2026-05-18T06:01:43.475540+00:00,,,,,
20260518_090230_HYPEUSDT_SHORT,yes,,2026-05-18T06:02:30.696068+00:00,HYPEUSDT,short,45.399,9,45.308202 - 45.625995,47.53449,41.12802,38.15,2.0,3.39,516.7,6.17,0.0074,BTC 4H structure broken,2,1.28,16.74,0,OI neutral,"near resistance, RSI not oversold, BTC supportive for short, RR1 >= 1.5, RR2 >= 2, funding ok",2026-05-18T07:18:20.915097+00:00,,,,,
20260518_090230_XAUTUSDT_SHORT,yes,,2026-05-18T06:02:30.696068+00:00,XAUTUSDT,short,4528.2,9,4519.1436 - 4550.841,4731.4395,4477.1,4121.721,0.25,2.0,91.5,0.07,0.0005,BTC 4H structure broken,2,3.94,-3.39,1,price down + OI up: short confirmation,"1D downtrend, 4H below EMA50, near resistance, RSI not oversold, too close to support, BTC supportive for short, RR2 >= 2, funding ok, OI confirms",2026-05-18T07:18:20.915097+00:00,,,,,
20260518_090230_ZECUSDT_SHORT,yes,,2026-05-18T06:02:30.696068+00:00,ZECUSDT,short,530.3,7,529.2394 - 532.9515,572.1264,485.0,446.6472,1.08,2.0,179.3,3.27,0.0085,BTC 4H structure broken,2,-9.3,2.37,0,price up + OI down: short covering,"near resistance, RSI not oversold, BTC supportive for short, RR2 >= 2, funding ok",2026-05-18T07:18:20.915097+00:00,,,,,
