signal_id,created_at,symbol,side,price,score,entry,stop,tp1,tp2,rr1,rr2,turnover24h_m,change24h_pct,funding_pct,btc_regime,btc_score_delta,oi_change_pct,price_change_oi_window_pct,oi_score_delta,oi_signal,reason,selected,manual_comment,smc_score_delta,smc_bias,smc_event,smc_zone,smc_reason
20260512_105150_LDOUSDT_LONG,2026-05-12T07:51:50.646522+00:00,LDOUSDT,long,0.4042,10,0.402179 - 0.405008,0.371036,0.4566,0.470529,1.58,2.0,57.3,-4.65,-0.0103,BTC 4H weak/neutral,-1,16.49,1.15,1,price up + OI up: long confirmation,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral, OI confirms",,,,,,,
20260512_105150_TONUSDT_LONG,2026-05-12T07:51:50.646522+00:00,TONUSDT,long,2.439,9,2.426805 - 2.443878,2.253178,2.8092,2.810645,1.99,2.0,175.1,6.4,0.005,BTC 4H weak/neutral,-1,-8.6,-5.23,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_DOGEUSDT_LONG,2026-05-12T07:51:50.646522+00:00,DOGEUSDT,long,0.10996,8,0.10941 - 0.11018,0.105052,0.1128,0.119776,0.58,2.0,145.5,0.77,-0.0046,BTC 4H weak/neutral,-1,12.83,2.46,1,price up + OI up: long confirmation,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral, OI confirms",,,,,,,
20260512_105150_ZECUSDT_LONG,2026-05-12T07:51:50.646522+00:00,ZECUSDT,long,562.55,8,559.73725 - 563.6751,540.543714,642.79,606.562571,3.65,2.0,101.7,-1.05,0.01,BTC 4H weak/neutral,-1,-4.04,-1.89,0,price down + OI down: deleveraging,"1D uptrend, 4H above EMA50, near support, RR1 >= 1.5, RR2 >= 2, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_XRPUSDT_LONG,2026-05-12T07:51:50.646522+00:00,XRPUSDT,long,1.4623,7,1.454989 - 1.465225,1.36902,1.5075,1.648859,0.48,2.0,395.6,0.98,0.0042,BTC 4H weak/neutral,-1,4.13,5.18,1,price up + OI up: long confirmation,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, funding ok, BTC weak/neutral, OI confirms",,,,,,,
20260512_105150_LABUSDT_LONG,2026-05-12T07:51:50.646522+00:00,LABUSDT,long,4.5912,7,4.568244 - 4.600382,3.047784,7.9301,7.678031,2.16,2.0,300.5,4.06,0.005,BTC 4H weak/neutral,-1,-34.87,4.75,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, RR1 >= 1.5, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_1000PEPEUSDT_LONG,2026-05-12T07:51:50.646522+00:00,1000PEPEUSDT,long,0.004272,7,0.004251 - 0.004281,0.004062,0.004585,0.004693,1.49,2.0,87.4,-0.74,0.0047,BTC 4H weak/neutral,-1,-1.54,1.93,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_ADAUSDT_LONG,2026-05-12T07:51:50.646522+00:00,ADAUSDT,long,0.2768,7,0.275416 - 0.277354,0.258004,0.2886,0.314393,0.63,2.0,67.8,-0.25,0.0074,BTC 4H weak/neutral,-1,-3.55,4.81,0,price up + OI down: possible short squeeze,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_FARTCOINUSDT_LONG,2026-05-12T07:51:50.646522+00:00,FARTCOINUSDT,long,0.2506,7,0.249347 - 0.251101,0.237805,0.26885,0.27619,1.43,2.0,66.2,-1.96,0.005,BTC 4H weak/neutral,-1,-0.01,2.22,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
20260512_105150_TAOUSDT_LONG,2026-05-12T07:51:50.646522+00:00,TAOUSDT,long,319.38,7,317.7831 - 320.01876,294.8782,333.23,368.3836,0.57,2.0,66.0,-0.11,0.005,BTC 4H weak/neutral,-1,-0.23,3.6,0,OI neutral,"1D uptrend, 4H above EMA50, near support, RR2 >= 2, RSI not overheated, funding ok, BTC weak/neutral",,,,,,,
